Título,Año,Descripción,Autor,Tipo de archivo,Link sinia,Link externo,Link,Código,Perfil,Clasificación,documentos complementarios,ampyd,Ubicación en la estructura
"Presentación Talleres Regionales de Adaptación n.° 5 - Región NOA
",2022,,Ministerio de Ambiente y Desarrollo Sostenible,Documento,Link,,https://ciam.ambiente.gob.ar/images/uploaded/recursos/486/Taller%20Regional%20de%20Adaptaci%C3%B3n%20N5%20-%20NOA.pdf,,Incluir sólo en la estructuctura correspondiente,Solo en biblioteca general,-,Adaptación,
"Presentación Talleres Regionales de Adaptación n.° 5 - Región Patagonia
",2022,,Ministerio de Ambiente y Desarrollo Sostenible,Documento,Link,,https://ciam.ambiente.gob.ar/images/uploaded/recursos/487/Taller%20Regional%20de%20Adaptaci%C3%B3n%20N5%20-%20Patagonia.pdf,,Incluir sólo en la estructuctura correspondiente,Solo en biblioteca general,-,Adaptación,
Herramienta para priorización de riesgos,2022,,Ministerio de Ambiente y Desarrollo Sostenible,Excel,Link,,https://ciam.ambiente.gob.ar/buscador.php?s=Herramienta%20para%20priorizaci%C3%B3n%20de%20riesgos,,Incluir sólo en la estructuctura correspondiente,Solo en biblioteca general,Adaptación,Adaptación,Gestión climática -sobre adaptación
"Informe Taller Nacional de Adaptación n.° 1
",2022,,Ministerio de Ambiente y Desarrollo Sostenible,Documento,Link,,https://ciam.ambiente.gob.ar/images/uploaded/recursos/489/Informe%20Sexto%20Taller%20Regional%20de%20Adaptaci%C3%B3n.pdf,,Incluir sólo en la estructuctura correspondiente,Solo en biblioteca general,Adaptación,Adaptación,
Acta Reunión de Ministros y Ministras N° 2/2022 – Gabinete Nacional de Cambio Climático,2022,Acta de la Reunión de Ministros y Ministras N° 2/2022 – Gabinete Nacional de Cambio Climático mediante la cual se aprueba el Segundo Plan Nacional de Adaptación y Mitigación al Cambio Climático y la Estrategia de desarrollo resiliente con bajas emisiones a largo plazo a 2050,Ministerio de Ambiente y Desarrollo Sostenible,Documento,Link,,https://ciam.ambiente.gob.ar/images/uploaded/recursos/503/Acta_n2_2022_Reuni%C3%B3n_de_Ministros_Aprueba_PNAyMCC_2022_y_LTS.pdf,,Incluir sólo en la estructuctura correspondiente,Solo en biblioteca general,GNCC,"Adaptación, Mitigación, Pérdidas y daños",¿Que esta haciendo el estado nacional - Marco Nacional - Ley 27520 - GNCC
Acta Reunión de Ministros y Ministras N° 1/2022 – Gabinete Nacional de Cambio Climático,2022,"Acta Reunión de Ministros y Ministras N° 1/2022 – Gabinete Nacional de Cambio Climático, mediante la cual, se aprueba Plan Anual del Gabinete Nacional de Cambio Climático 2022, el Reglamento Interno del GNCC y se insta a la Coordinación Técnica Administrativa del GNCC a iniciar el proceso oficial de convocatoria, conformación y puesta en función del Consejo Asesor Externo ",Ministerio de Ambiente y Desarrollo Sostenible,Documento,Link,,https://ciam.ambiente.gob.ar/images/uploaded/recursos/492/IF-2022-47684061-APN-JGM.pdf,,Incluir sólo en la estructuctura correspondiente,Solo en biblioteca general,GNCC,"Adaptación, Mitigación, Pérdidas y daños",¿Que esta haciendo el estado nacional - Marco Nacional - Ley 27520 - GNCC
Acta Reunión de Ministros y Ministras N° 1/2024 – Gabinete Nacional de Cambio Climático,2024,,Subsecretaría de Ambiente,Documento,Link,,https://ciam.ambiente.gob.ar/images/uploaded/recursos/568/IF-2024-111741006-APN-SSAM-JGM.pdf,,Incluir sólo en la estructuctura correspondiente,Solo en biblioteca general,GNCC,"Adaptación, Mitigación, Pérdidas y daños",¿Que esta haciendo el estado nacional - Marco Nacional - Ley 27520 - GNCC
Acta Mesa de Articulación Provincial N° 1/2023 – Gabinete Nacional de Cambio Climático,2023,"Acta Mesa de Articulación Provincial N° 1/2023 – Gabinete Nacional de Cambio Climático   mediante la cual, se comunica el Plan Anual del Gabinete Nacional de Cambio Climático 2022, se aborda el proceso de Convalidación de los Planes de Respuesta jurisdiccionales y las Capacitaciones Regionales",Ministerio de Ambiente y Desarrollo Sostenible,Documento,Link,,https://ciam.ambiente.gob.ar/images/uploaded/recursos/493/2023%201ra%20Mesa%20de%20Articulaci%C3%B3n%20Provincial%20-%20Acta%20N1.pdf,,Incluir sólo en la estructuctura correspondiente,Solo en biblioteca general,GNCC,"Adaptación, Mitigación, Pérdidas y daños",¿Que esta haciendo el estado nacional - Marco Nacional - Ley 27520 - GNCC
Acta Mesa de Articulación Provincial N° 2/2023 y Grupo de Trabajo sobre criterios de convalidación de los Planes de Respuesta – Gabinete Nacional de Cambio Climático,2023,Acta Mesa de Articulación Provincial N° 2/2023 y Grupo de Trabajo sobre criterios de convalidación de los Planes de Respuesta – Gabinete Nacional de Cambio Climático   mediante la cual se acordaron criterios mínimos para el análisis de los Planes de Respuesta en el marco del proceso de Convalidación de los mismos (Ley N° 27.520),Ministerio de Ambiente y Desarrollo Sostenible,Documento,Link,,https://ciam.ambiente.gob.ar/images/uploaded/recursos/494/2023%202da%20Mesa%20de%20Articulaci%C3%B3n%20Provincial%20-%20Acta%20N2.pdf,,Incluir sólo en la estructuctura correspondiente,Solo en biblioteca general,GNCC,"Adaptación, Mitigación, Pérdidas y daños",¿Que esta haciendo el estado nacional - Marco Nacional - Ley 27520 - GNCC
Acta Mesa de Articulación Provincial N° 1/2024 – Gabinete Nacional de Cambio Climático,2024,,Subsecretaría de Ambiente,Documento,Link,,https://ciam.ambiente.gob.ar/images/uploaded/recursos/572/Acta%20N%201%202024%20Mesa%20de%20Articulaci%C3%B3n%20Provincial%20GNCC.pdf,,Incluir sólo en la estructuctura correspondiente,Solo en biblioteca general,GNCC,"Adaptación, Mitigación, Pérdidas y daños",¿Que esta haciendo el estado nacional - Marco Nacional - Ley 27520 - GNCC
